condition;target_name;target_colour;competitor_name;competitor_colour;distractor1_name;distractor1_colour;distractor2_name;distractor2_colour
AF;Kirsche;gelb;Kirsche;gruen;Sonnenbrille;braun;Bueroklammer;braun
NF;Bohnen;gruen;Bueroklammer;gruen;Sonnenbrille;rot;Sonnenbrille;braun
AF;Sonnenbrille;gelb;Sonnenbrille;rot;Socken;orange;Birne;orange
ANF;Mandarine;orange;Erdbeere;rot;Bueroklammer;braun;Zucchini;gelb
NF;Erdbeere;rot;Bueroklammer;rot;Waescheklammer;braun;Waescheklammer;orange
AF;Sonnenbrille;braun;Sonnenbrille;gruen;Aubergine;rot;Socken;orange
NF;Aprikose;rot;Socken;rot;Waescheklammer;gruen;Sonnenbrille;gruen
AF;Trauben;orange;Trauben;gelb;Bueroklammer;braun;Sonnenbrille;braun
NF;Moehre;gruen;Sonnenbrille;gruen;Bueroklammer;braun;Aubergine;rot
AF;Bueroklammer;rot;Bueroklammer;braun;Zucchini;gelb;Waescheklammer;gruen
NF;Zitrone;gelb;Socken;gelb;Sonnenbrille;gruen;Waescheklammer;gruen
NF;Mandarine;orange;Socken;orange;Bueroklammer;gelb;Bueroklammer;gruen
ANF;Banane;braun;Zitrone;gelb;Waescheklammer;gruen;Sonnenbrille;gruen
AF;Waescheklammer;orange;Waescheklammer;gelb;Sonnenbrille;gruen;Sonnenbrille;rot
ANF;Kartoffeln;orange;Walnuss;braun;Aubergine;rot;Sonnenbrille;rot
NF;Gurke;rot;Waescheklammer;rot;Socken;gelb;Socken;orange
NF;Banane;braun;Sonnenbrille;braun;Bueroklammer;gruen;Socken;gelb
ANF;Tomate;gruen;Mandarine;orange;Socken;gelb;Sonnenbrille;braun
NF;Kartoffeln;orange;Waescheklammer;orange;Zucchini;gelb;Bueroklammer;braun
ANF;Erdbeere;rot;Tomate;gruen;Birne;orange;Socken;gelb
NF;Walnuss;braun;Bueroklammer;braun;Waescheklammer;orange;Avokado;rot
AF;Paprika;braun;Paprika;rot;Socken;gelb;Sonnenbrille;gruen
NF;Trauben;orange;Bueroklammer;orange;Sonnenbrille;braun;Zucchini;gelb
AF;Gurke;rot;Gurke;braun;Waescheklammer;gruen;Zucchini;gelb
AF;Moehre;gruen;Moehre;orange;Sonnenbrille;rot;Aubergine;rot
ANF;Bohnen;gruen;Aprikose;rot;Sonnenbrille;braun;Socken;orange
AF;Socken;gruen;Socken;orange;Bueroklammer;gelb;Waescheklammer;braun
ANF;Walnuss;braun;Erbsen;gelb;Sonnenbrille;rot;Aubergine;rot
NF;Erbsen;gelb;Sonnenbrille;gelb;Socken;orange;Birne;orange
ANF;Erbsen;gelb;Bohnen;gruen;Socken;orange;Birne;orange
ANF;Zitrone;gelb;Banane;braun;Sonnenbrille;gruen;Waescheklammer;gruen
NF;Paprika;braun;Waescheklammer;braun;Avokado;rot;Bueroklammer;orange
ANF;Aprikose;rot;Kartoffeln;orange;Zucchini;gelb;Bueroklammer;braun
NF;Tomate;gruen;Socken;gruen;Birne;orange;Bueroklammer;gelb
NF;Kirsche;gelb;Waescheklammer;gelb;Aubergine;rot;Sonnenbrille;rot
