condition;target_name;target_colour;competitor_name;competitor_colour;distractor1_name;distractor1_colour;distractor2_name;distractor2_colour
NF;Kirsche;gelb;Sonnenbrille;gelb;Bueroklammer;orange;Birne;orange
AF;Moehre;gruen;Moehre;orange;Waescheklammer;gelb;Bueroklammer;rot
NF;Walnuss;braun;Sonnenbrille;braun;Birne;orange;Bueroklammer;orange
ANF;Mandarine;orange;Tomate;gruen;Sonnenbrille;gelb;Bueroklammer;rot
NF;Erbsen;gelb;Waescheklammer;gelb;Zucchini;rot;Zucchini;braun
ANF;Aprikose;rot;Bohnen;gruen;Avokado;gelb;Zucchini;braun
AF;Bueroklammer;rot;Bueroklammer;braun;Waescheklammer;gruen;Sonnenbrille;orange
NF;Banane;braun;Waescheklammer;braun;Sonnenbrille;orange;Bueroklammer;rot
NF;Kartoffeln;orange;Waescheklammer;orange;Socken;rot;Bueroklammer;gruen
ANF;Erdbeere;rot;Walnuss;braun;Sonnenbrille;orange;Birne;orange
NF;Zitrone;gelb;Socken;gelb;Bueroklammer;gruen;Waescheklammer;braun
AF;Paprika;braun;Paprika;rot;Avokado;gelb;Waescheklammer;gruen
ANF;Zitrone;gelb;Mandarine;orange;Zucchini;rot;Sonnenbrille;braun
AF;Sonnenbrille;braun;Sonnenbrille;gruen;Bueroklammer;orange;Birne;orange
NF;Aprikose;rot;Waescheklammer;rot;Zucchini;braun;Aubergine;gruen
NF;Tomate;gruen;Bueroklammer;gruen;Sonnenbrille;gelb;Waescheklammer;gelb
ANF;Tomate;gruen;Erbsen;gelb;Zucchini;braun;Sonnenbrille;orange
AF;Gurke;rot;Gurke;braun;Aubergine;gruen;Avokado;gelb
ANF;Walnuss;braun;Kartoffeln;orange;Bueroklammer;rot;Waescheklammer;gruen
AF;Waescheklammer;orange;Waescheklammer;gelb;Zucchini;braun;Aubergine;gruen
NF;Moehre;gruen;Socken;gruen;Waescheklammer;gelb;Sonnenbrille;gelb
AF;Socken;gruen;Socken;orange;Bueroklammer;rot;Zucchini;braun
AF;Trauben;orange;Trauben;gelb;Sonnenbrille;braun;Zucchini;rot
NF;Paprika;braun;Bueroklammer;braun;Waescheklammer;gruen;Sonnenbrille;orange
ANF;Bohnen;gruen;Zitrone;gelb;Sonnenbrille;braun;Zucchini;rot
ANF;Kartoffeln;orange;Erdbeere;rot;Waescheklammer;gelb;Sonnenbrille;gelb
NF;Gurke;rot;Socken;rot;Avokado;gelb;Sonnenbrille;braun
NF;Trauben;orange;Socken;orange;Bueroklammer;rot;Waescheklammer;gruen
ANF;Erbsen;gelb;Banane;braun;Waescheklammer;gruen;Aubergine;gruen
NF;Erdbeere;rot;Bueroklammer;rot;Sonnenbrille;braun;Avokado;gelb
AF;Kirsche;gelb;Kirsche;gruen;Zucchini;rot;Sonnenbrille;braun
NF;Bohnen;gruen;Sonnenbrille;gruen;Waescheklammer;braun;Socken;rot
AF;Sonnenbrille;gelb;Sonnenbrille;rot;Birne;orange;Bueroklammer;orange
ANF;Banane;braun;Aprikose;rot;Aubergine;gruen;Avokado;gelb
NF;Mandarine;orange;Bueroklammer;orange;Aubergine;gruen;Zucchini;rot
