condition;target_name;target_colour;competitor_name;competitor_colour;distractor1_name;distractor1_colour;distractor2_name;distractor2_colour
NF;Aprikose;rot;Bueroklammer;rot;Waescheklammer;gruen;Aubergine;gruen
AF;Gurke;rot;Gurke;braun;Waescheklammer;orange;Birne;orange
ANF;Mandarine;orange;Zitrone;gelb;Zucchini;rot;Zucchini;gruen
AF;Waescheklammer;orange;Waescheklammer;gelb;Socken;braun;Bueroklammer;rot
ANF;Erbsen;gelb;Erdbeere;rot;Socken;gruen;Waescheklammer;braun
AF;Socken;gruen;Socken;orange;Bueroklammer;rot;Waescheklammer;braun
ANF;Zitrone;gelb;Banane;braun;Zucchini;gruen;Socken;gruen
AF;Sonnenbrille;gelb;Sonnenbrille;gruen;Waescheklammer;braun;Waescheklammer;orange
NF;Moehre;gruen;Bueroklammer;gruen;Birne;rot;Socken;braun
NF;Walnuss;braun;Sonnenbrille;braun;Birne;orange;Birne;rot
NF;Erdbeere;rot;Socken;rot;Waescheklammer;orange;Birne;orange
AF;Bueroklammer;rot;Bueroklammer;braun;Socken;gelb;Socken;gruen
ANF;Tomate;gruen;Mandarine;orange;Bueroklammer;rot;Socken;braun
NF;Trauben;orange;Bueroklammer;orange;Socken;gruen;Socken;gelb
ANF;Bohnen;gruen;Erbsen;gelb;Waescheklammer;braun;Waescheklammer;orange
NF;Kartoffeln;orange;Waescheklammer;orange;Avokado;gelb;Zucchini;rot
NF;Banane;braun;Bueroklammer;braun;Zucchini;gruen;Avokado;gelb
AF;Moehre;gruen;Moehre;orange;Avokado;gelb;Zucchini;rot
NF;Kirsche;gelb;Sonnenbrille;gelb;Zucchini;rot;Zucchini;gruen
NF;Bohnen;gruen;Sonnenbrille;gruen;Socken;orange;Zucchini;braun
AF;Trauben;orange;Trauben;gelb;Zucchini;rot;Zucchini;gruen
NF;Erbsen;gelb;Waescheklammer;gelb;Socken;braun;Bueroklammer;rot
ANF;Walnuss;braun;Kartoffeln;orange;Avokado;gelb;Zucchini;rot
NF;Tomate;gruen;Socken;gruen;Zucchini;braun;Sonnenbrille;gelb
AF;Sonnenbrille;braun;Sonnenbrille;rot;Socken;gruen;Socken;gelb
ANF;Kartoffeln;orange;Aprikose;rot;Socken;braun;Socken;gelb
AF;Kirsche;gelb;Kirsche;gruen;Birne;orange;Socken;braun
NF;Mandarine;orange;Socken;orange;Bueroklammer;rot;Waescheklammer;braun
NF;Gurke;rot;Waescheklammer;rot;Socken;gelb;Socken;gruen
ANF;Erdbeere;rot;Tomate;gruen;Socken;gelb;Avokado;gelb
NF;Paprika;braun;Waescheklammer;braun;Sonnenbrille;gelb;Socken;orange
ANF;Banane;braun;Bohnen;gruen;Birne;orange;Bueroklammer;rot
NF;Zitrone;gelb;Socken;gelb;Waescheklammer;braun;Waescheklammer;orange
AF;Paprika;braun;Paprika;rot;Zucchini;gruen;Avokado;gelb
ANF;Aprikose;rot;Walnuss;braun;Waescheklammer;orange;Birne;orange
