condition;target_name;target_colour;competitor_name;competitor_colour;distractor1_name;distractor1_colour;distractor2_name;distractor2_colour
NF;Tomate;gruen;Bueroklammer;gruen;Zucchini;rot;Zucchini;gelb
ANF;Erbsen;gelb;Erdbeere;rot;Birne;gruen;Bueroklammer;orange
NF;Bohnen;gruen;Sonnenbrille;gruen;Zucchini;gelb;Zucchini;rot
NF;Erdbeere;rot;Socken;rot;Bueroklammer;braun;Waescheklammer;orange
ANF;Walnuss;braun;Kartoffeln;orange;Socken;rot;Avokado;gelb
AF;Paprika;braun;Paprika;rot;Sonnenbrille;orange;Avokado;gelb
NF;Trauben;orange;Bueroklammer;orange;Socken;braun;Socken;gelb
AF;Sonnenbrille;braun;Sonnenbrille;rot;Zucchini;gelb;Birne;gruen
ANF;Tomate;gruen;Aprikose;rot;Sonnenbrille;orange;Socken;braun
AF;Gurke;rot;Gurke;braun;Avokado;gelb;Sonnenbrille;orange
NF;Zitrone;gelb;Waescheklammer;gelb;Bueroklammer;orange;Sonnenbrille;braun
ANF;Mandarine;orange;Banane;braun;Zucchini;rot;Zucchini;gelb
AF;Waescheklammer;orange;Waescheklammer;gelb;Sonnenbrille;braun;Socken;rot
NF;Banane;braun;Bueroklammer;braun;Sonnenbrille;orange;Socken;rot
AF;Trauben;orange;Trauben;gelb;Birne;gruen;Sonnenbrille;gruen
ANF;Zitrone;gelb;Tomate;gruen;Sonnenbrille;braun;Sonnenbrille;orange
AF;Moehre;gruen;Moehre;orange;Socken;rot;Socken;braun
NF;Walnuss;braun;Waescheklammer;braun;Avokado;gruen;Sonnenbrille;orange
ANF;Aprikose;rot;Bohnen;gruen;Avokado;gelb;Sonnenbrille;braun
AF;Socken;gruen;Socken;orange;Bueroklammer;braun;Sonnenbrille;braun
NF;Erbsen;gelb;Sonnenbrille;gelb;Socken;rot;Bueroklammer;orange
NF;Aprikose;rot;Bueroklammer;rot;Socken;gelb;Socken;braun
ANF;Kartoffeln;orange;Erbsen;gelb;Sonnenbrille;gruen;Birne;gruen
AF;Sonnenbrille;gelb;Sonnenbrille;gruen;Zucchini;rot;Bueroklammer;orange
NF;Gurke;rot;Waescheklammer;rot;Sonnenbrille;braun;Avokado;gelb
ANF;Erdbeere;rot;Walnuss;braun;Zucchini;gelb;Sonnenbrille;gruen
ANF;Bohnen;gruen;Mandarine;orange;Socken;braun;Socken;rot
NF;Paprika;braun;Sonnenbrille;braun;Waescheklammer;orange;Waescheklammer;rot
AF;Kirsche;gelb;Kirsche;gruen;Bueroklammer;orange;Zucchini;rot
NF;Kartoffeln;orange;Socken;orange;Avokado;gelb;Avokado;gruen
NF;Moehre;gruen;Socken;gruen;Waescheklammer;rot;Bueroklammer;braun
NF;Mandarine;orange;Waescheklammer;orange;Birne;gruen;Sonnenbrille;gruen
AF;Bueroklammer;rot;Bueroklammer;braun;Sonnenbrille;gruen;Zucchini;gelb
ANF;Banane;braun;Zitrone;gelb;Bueroklammer;orange;Zucchini;rot
NF;Kirsche;gelb;Socken;gelb;Sonnenbrille;gruen;Birne;gruen
