condition;target_name;target_colour;competitor_name;competitor_colour;distractor1_name;distractor1_colour;distractor2_name;distractor2_colour
AF;Bueroklammer;rot;Bueroklammer;braun;Socken;orange;Aubergine;gruen
ANF;Erbsen;gelb;Bohnen;gruen;Waescheklammer;braun;Bueroklammer;orange
NF;Kartoffeln;orange;Socken;orange;Aubergine;gruen;Aubergine;gelb
ANF;Bohnen;gruen;Aprikose;rot;Socken;braun;Aubergine;gelb
AF;Sonnenbrille;braun;Sonnenbrille;rot;Avokado;gelb;Socken;gelb
NF;Aprikose;rot;Bueroklammer;rot;Avokado;gelb;Sonnenbrille;braun
AF;Waescheklammer;orange;Waescheklammer;gelb;Avokado;rot;Birne;rot
ANF;Erdbeere;rot;Zitrone;gelb;Socken;orange;Aubergine;gruen
NF;Bohnen;gruen;Bueroklammer;gruen;Aubergine;gelb;Socken;braun
NF;Kirsche;gelb;Sonnenbrille;gelb;Waescheklammer;braun;Waescheklammer;gruen
ANF;Zitrone;gelb;Mandarine;orange;Sonnenbrille;braun;Socken;braun
AF;Kirsche;gelb;Kirsche;gruen;Socken;braun;Socken;orange
NF;Mandarine;orange;Bueroklammer;orange;Avokado;rot;Birne;rot
ANF;Mandarine;orange;Banane;braun;Avokado;rot;Waescheklammer;gruen
NF;Paprika;braun;Waescheklammer;braun;Birne;rot;Bueroklammer;orange
ANF;Banane;braun;Erdbeere;rot;Aubergine;gruen;Avokado;gelb
NF;Trauben;orange;Waescheklammer;orange;Socken;braun;Aubergine;gruen
ANF;Kartoffeln;orange;Erbsen;gelb;Birne;rot;Avokado;rot
AF;Trauben;orange;Trauben;gelb;Waescheklammer;gruen;Waescheklammer;braun
NF;Zitrone;gelb;Socken;gelb;Zucchini;gruen;Birne;orange
AF;Gurke;rot;Gurke;braun;Bueroklammer;orange;Waescheklammer;gruen
AF;Sonnenbrille;gelb;Sonnenbrille;gruen;Waescheklammer;braun;Bueroklammer;orange
NF;Tomate;gruen;Socken;gruen;Sonnenbrille;rot;Avokado;gelb
ANF;Tomate;gruen;Walnuss;braun;Bueroklammer;orange;Socken;orange
NF;Banane;braun;Bueroklammer;braun;Socken;orange;Avokado;rot
ANF;Aprikose;rot;Kartoffeln;orange;Waescheklammer;gruen;Waescheklammer;braun
NF;Moehre;gruen;Sonnenbrille;gruen;Bueroklammer;orange;Socken;orange
AF;Socken;gruen;Socken;orange;Aubergine;gelb;Avokado;gelb
NF;Erdbeere;rot;Waescheklammer;rot;Birne;orange;Socken;gelb
AF;Moehre;gruen;Moehre;orange;Birne;rot;Avokado;rot
NF;Gurke;rot;Socken;rot;Waescheklammer;gruen;Waescheklammer;braun
NF;Erbsen;gelb;Waescheklammer;gelb;Sonnenbrille;braun;Sonnenbrille;rot
AF;Paprika;braun;Paprika;rot;Aubergine;gruen;Aubergine;gelb
ANF;Walnuss;braun;Tomate;gruen;Aubergine;gelb;Birne;rot
NF;Walnuss;braun;Sonnenbrille;braun;Socken;gelb;Zucchini;gruen
